studentId,courseId,topicId,questionId,sourceType,eventType,eventTimestamp,isCorrect,label_nextCorrect,normalizedScore,rawScore,difficulty,timeSpentSec,responseLatencySec,hintUsed,attemptNo,materialId
student_0197,course_04,arrays,q_course_04_arrays_0000,quiz,question_attempt,2025-01-01T09:01:00+00:00,0,0,0.3214,3,easy,85.01,3.851,1,2,mat_course_04_arrays_006
student_0119,course_02,graphs,q_course_02_graphs_0000,quiz,question_attempt,2025-01-01T09:03:00+00:00,0,0,0.211,2,medium,84.82,3.774,1,1,mat_course_02_graphs_021
student_0197,course_04,searching,q_course_04_searching_0001,quiz,question_attempt,2025-01-01T09:09:00+00:00,0,0,0.4376,4,easy,87.17,4.859,1,3,mat_course_04_searching_027
student_0119,course_02,joins,q_course_02_joins_0001,quiz,question_attempt,2025-01-01T09:13:00+00:00,0,0,0.4067,4,hard,50.65,4.171,0,3,mat_course_02_joins_003
student_0119,course_02,complexity,q_course_02_complexity_0002,quiz,question_attempt,2025-01-01T09:21:00+00:00,0,0,0.2514,3,medium,69.23,4.389,0,2,mat_course_02_complexity_018
student_0197,course_04,searching,q_course_04_searching_0002,quiz,question_attempt,2025-01-01T09:21:00+00:00,0,0,0.2337,2,easy,75.86,4.158,1,2,mat_course_04_searching_002
student_0119,course_02,stacks_queues,q_course_02_stacks_queues_0003,assignment,assignment_attempt,2025-01-01T09:27:00+00:00,1,1,0.5031,5,easy,80.23,1.942,1,2,mat_course_02_stacks_queues_005
student_0197,course_04,trees,q_course_04_trees_0003,assignment,assignment_attempt,2025-01-01T09:29:00+00:00,1,1,0.4287,4,medium,36.64,1.85,0,3,mat_course_04_trees_013
student_0119,course_02,arrays,q_course_02_arrays_0004,quiz,question_attempt,2025-01-01T09:38:00+00:00,0,0,0.3743,4,hard,65.96,4.705,0,3,mat_course_02_arrays_033
student_0197,course_04,sql_basics,q_course_04_sql_basics_0004,assignment,assignment_attempt,2025-01-01T09:40:00+00:00,1,1,0.5543,6,medium,45.65,1.406,0,1,mat_course_04_sql_basics_004
student_0119,course_02,normalization,q_course_02_normalization_0005,quiz,question_attempt,2025-01-01T09:48:00+00:00,0,0,0.3884,4,medium,87.77,5.097,1,2,mat_course_02_normalization_010
student_0197,course_04,trees,q_course_04_trees_0005,assignment,assignment_attempt,2025-01-01T09:48:00+00:00,1,1,0.4829,5,medium,66.84,1.157,0,3,mat_course_04_trees_031
student_0197,course_04,stacks_queues,q_course_04_stacks_queues_0006,quiz,question_attempt,2025-01-01T09:56:00+00:00,1,1,0.517,5,medium,38.44,3.475,1,3,mat_course_04_stacks_queues_015
student_0119,course_02,trees,q_course_02_trees_0006,assignment,assignment_attempt,2025-01-01T09:58:00+00:00,0,0,0.2349,2,medium,95.16,3.055,0,3,mat_course_02_trees_031
student_0119,course_02,searching,q_course_02_searching_0007,quiz,question_attempt,2025-01-01T10:04:00+00:00,0,0,0.3293,3,easy,95.22,5.728,0,1,mat_course_02_searching_031
student_0197,course_04,arrays,q_course_04_arrays_0007,quiz,question_attempt,2025-01-01T10:04:00+00:00,1,1,0.6801,7,medium,37.9,1.82,0,2,mat_course_04_arrays_021
student_0119,course_02,trees,q_course_02_trees_0008,quiz,question_attempt,2025-01-01T10:15:00+00:00,0,0,0.2269,2,medium,51.08,1.561,1,3,mat_course_02_trees_002
student_0197,course_04,sql_basics,q_course_04_sql_basics_0008,quiz,question_attempt,2025-01-01T10:15:00+00:00,1,1,0.5519,6,medium,43.1,3.647,0,3,mat_course_04_sql_basics_016
student_0119,course_02,linked_lists,q_course_02_linked_lists_0009,quiz,question_attempt,2025-01-01T10:24:00+00:00,1,1,0.5112,5,easy,72.69,2.197,0,2,mat_course_02_linked_lists_022
student_0197,course_04,trees,q_course_04_trees_0009,quiz,question_attempt,2025-01-01T10:24:00+00:00,0,0,0.2745,3,medium,70.78,4.287,0,1,mat_course_04_trees_034
student_0119,course_02,normalization,q_course_02_normalization_0010,quiz,question_attempt,2025-01-01T10:31:00+00:00,0,0,0.3794,4,hard,83.53,2.368,0,1,mat_course_02_normalization_004
student_0197,course_04,trees,q_course_04_trees_0010,quiz,question_attempt,2025-01-01T10:31:00+00:00,0,0,0.3503,4,hard,70.41,2.652,0,2,mat_course_04_trees_031
student_0119,course_02,trees,q_course_02_trees_0011,quiz,question_attempt,2025-01-01T10:40:00+00:00,0,0,0.2277,2,easy,80.34,4.13,1,1,mat_course_02_trees_002
student_0197,course_04,sql_basics,q_course_04_sql_basics_0011,quiz,question_attempt,2025-01-01T10:42:00+00:00,0,0,0.4574,5,hard,50.16,2.693,0,2,mat_course_04_sql_basics_030
student_0197,course_04,graphs,q_course_04_graphs_0012,quiz,question_attempt,2025-01-01T10:49:00+00:00,0,0,0.331,3,medium,121.41,4.152,0,1,mat_course_04_graphs_004
